"rt","stimulus","button_pressed","button_pressed_text","trial_type","trial_index","time_elapsed","internal_node_id","ID"
"1745.8000000005995","<span class=stimul>gésin</span>","0","Correct","html-button-response","50","50524","0.0-0.0-0.50","97fwq4mzda"
"1195.9999999999127","<span class=stimul>kraulir</span>","0","Correct","html-button-response","51","51724","0.0-0.0-0.51","97fwq4mzda"
"1063.9999999984866","<span class=stimul>cibe</span>","0","Correct","html-button-response","52","52791","0.0-0.0-0.52","97fwq4mzda"
"865.9000000006927","<span class=stimul>maipe</span>","0","Correct","html-button-response","53","53661","0.0-0.0-0.53","97fwq4mzda"
"922.1999999972468","<span class=stimul>ligase</span>","0","Correct","html-button-response","54","54586","0.0-0.0-0.54","97fwq4mzda"
"1120.6999999994878","<span class=stimul>gofi</span>","0","Correct","html-button-response","55","55711","0.0-0.0-0.55","97fwq4mzda"
"790.4000000016822","<span class=stimul>cipre</span>","0","Correct","html-button-response","56","56505","0.0-0.0-0.56","97fwq4mzda"
"784.2000000018743","<span class=stimul>tasin</span>","0","Correct","html-button-response","57","57292","0.0-0.0-0.57","97fwq4mzda"
"1161.2000000022817","<span class=stimul>cipé</span>","0","Correct","html-button-response","58","58457","0.0-0.0-0.58","97fwq4mzda"
"","","","","html-button-response","59","60002","0.0-0.0-0.59","97fwq4mzda"
