"rang","readingSpeed","numbercomparisonSpeed"
"204",111.454261596719,90.6134530773299
"205",134.572058225235,83.1524649773003
"206",83.1595478982852,78.5973263586929
"207",130.429217419287,66.7716849680584
"208",127.833141737702,91.3505953271805
"209",105.758756984222,94.0234049221335
"210",93.7218019367193,74.0818480951707
"211",90.4022901983052,67.8012068614829
"212",69.2092764939603,45.772952592788
"213",93.7752830205986,68.3686800719176
"214",67.1306033856058,68.43755168461
"215",108.655050864537,71.2519965403398
"216",93.2192490144103,74.3880323525311
"217",135.067372299925,70.9874067537855
"218",111.536130002672,33.7388240145541
"219",102.047927219474,78.2083339669704
"220",82.3669995412103,58.5363884394154
"221",104.938178268063,77.3233672103251
"222",161.586997024963,91.4133432492521
"223",119.400200412481,85.002857854704
"301",18.7380704199369,47.4172719935432
"302",51.0619100670156,26.3529984137522
"303",50.2522829361831,30.6294870071415
"304",22.7594764431936,38.7304564078621
"305",26.9537802800666,20.9816253415877
"306",49.1363354608554,31.3445286102592
"307",27.7525576077678,45.3788376630569
"308",8.22185401850232,20.2131960254444
"309",60.0509982376784,34.5245428882827
"310",6.04580798412875,18.5768099489139
"311",8.11607691466702,23.6504464021763
"312",14.0616979652736,32.6803504286768
"313",26.6761523132602,22.3247884641708
"314",19.0973859188325,19.55362839873
