"success","trial_type","trial_index","time_elapsed","internal_node_id","ID","rt","stimulus","button_pressed","button_pressed_text"
"true","fullscreen","0","50876","0.0-0.0","bvzbcex95y","","","",""
"","html-button-response","1","55741","0.0-1.0","bvzbcex95y","4843.800000000556"," ","1","9"
"","html-button-response","2","60235","0.0-2.0","bvzbcex95y","4490.1000000008935"," ","1","6"
"","html-button-response","3","62102","0.0-3.0","bvzbcex95y","1863.1999999997788"," ","0","5"
"","html-button-response","4","66710","0.0-4.0","bvzbcex95y","4604.600000000573"," ","0","3"
"","html-button-response","5","69246","0.0-5.0","bvzbcex95y","2532.4000000000524"," ","0","4"
"","html-button-response","6","70659","0.0-6.0","bvzbcex95y","1408.6999999999534"," ","1","5"
"","html-button-response","7","72914","0.0-7.0","bvzbcex95y","2251.5000000003056"," ","1","6"
"","html-button-response","8","76360","0.0-8.0","bvzbcex95y","3442.399999999907"," ","0","8"
"","html-button-response","9","79987","0.0-9.0","bvzbcex95y","3622.800000001007"," ","1","7"
"","html-button-response","10","81701","0.0-10.0","bvzbcex95y","1710.1000000002387"," ","0","2"
"","html-button-response","11","86561","0.0-11.0","bvzbcex95y","4856.400000000576"," ","0","6"
"","html-button-response","12","92905","0.0-12.0","bvzbcex95y","6341.000000000349"," ","1","4"
"","html-button-response","13","96285","0.0-13.0","bvzbcex95y","3375.6000000012136"," ","0","9"
"","html-button-response","14","98412","0.0-14.0","bvzbcex95y","2123.4000000004016"," ","1","8"
"","html-button-response","15","100531","0.0-15.0","bvzbcex95y","2115.9000000006927"," ","1","5"
"","html-button-response","16","103797","0.0-16.0","bvzbcex95y","3263.1000000001222"," ","0","7"
"","html-button-response","17","107753","0.0-17.0","bvzbcex95y","3952.400000000125"," ","1","9"
"","html-button-response","18","110884","0.0-18.0","bvzbcex95y","","","",""
