"success","trial_type","trial_index","time_elapsed","internal_node_id","ID","rt","stimulus","button_pressed","button_pressed_text"
"true","fullscreen","0","15472","0.0-0.0","la1y71xt66","","","",""
"","html-button-response","1","16263","0.0-1.0-0.0","la1y71xt66","758.3999999999378","<span class=stimul>à</span>","0","Correct"
"","html-button-response","2","16668","0.0-1.0-0.1","la1y71xt66","399.10000000008586","<span class=stimul>où</span>","0","Correct"
"","html-button-response","3","17054","0.0-1.0-0.2","la1y71xt66","381.299999999781","<span class=stimul>la</span>","0","Correct"
"","html-button-response","4","17454","0.0-1.0-0.3","la1y71xt66","396.3000000001084","<span class=stimul>au</span>","0","Correct"
"","html-button-response","5","17854","0.0-1.0-0.4","la1y71xt66","395.89999999998327","<span class=stimul>tu</span>","0","Correct"
"","html-button-response","6","18269","0.0-1.0-0.5","la1y71xt66","411.200000000008","<span class=stimul>un</span>","0","Correct"
"","html-button-response","7","18608","0.0-1.0-0.6","la1y71xt66","335.0000000000364","<span class=stimul>il</span>","0","Correct"
"","html-button-response","8","18986","0.0-1.0-0.7","la1y71xt66","374.59999999987485","<span class=stimul>été</span>","0","Correct"
"","html-button-response","9","19413","0.0-1.0-0.8","la1y71xt66","422.299999999952","<span class=stimul>on</span>","0","Correct"
"","html-button-response","10","19925","0.0-1.0-0.9","la1y71xt66","508.90000000003783","<span class=stimul>mur</span>","0","Correct"
"","html-button-response","11","20371","0.0-1.0-0.10","la1y71xt66","441.2000000002081","<span class=stimul>ni</span>","0","Correct"
"","html-button-response","12","20833","0.0-1.0-0.11","la1y71xt66","458.3000000000102","<span class=stimul>sur</span>","0","Correct"
"","html-button-response","13","21297","0.0-1.0-0.12","la1y71xt66","460.0000000000364","<span class=stimul>qui</span>","0","Correct"
"","html-button-response","14","21824","0.0-1.0-0.13","la1y71xt66","523.2000000000844","<span class=stimul>vélo</span>","0","Correct"
"","html-button-response","15","22419","0.0-1.0-0.14","la1y71xt66","591.5","<span class=stimul>par</span>","0","Correct"
"","html-button-response","16","22944","0.0-1.0-0.15","la1y71xt66","520.8000000000102","<span class=stimul>feu</span>","0","Correct"
"","html-button-response","17","23366","0.0-1.0-0.16","la1y71xt66","417.9999999998945","<span class=stimul>ce</span>","0","Correct"
"","html-button-response","18","23826","0.0-1.0-0.17","la1y71xt66","456.59999999998035","<span class=stimul>peur</span>","0","Correct"
"","html-button-response","19","24281","0.0-1.0-0.18","la1y71xt66","451.0000000000218","<span class=stimul>ami</span>","0","Correct"
"","html-button-response","20","24748","0.0-1.0-0.19","la1y71xt66","463.0000000001892","<span class=stimul>moto</span>","0","Correct"
"","html-button-response","21","25213","0.0-1.0-0.20","la1y71xt66","461.4999999998836","<span class=stimul>peau</span>","0","Correct"
"","html-button-response","22","25662","0.0-1.0-0.21","la1y71xt66","444.8999999999578","<span class=stimul>lune</span>","0","Correct"
"","html-button-response","23","26144","0.0-1.0-0.22","la1y71xt66","478.10000000003856","<span class=stimul>gare</span>","0","Correct"
"","html-button-response","24","26655","0.0-1.0-0.23","la1y71xt66","506.39999999998327","<span class=stimul>lire</span>","0","Correct"
"","html-button-response","25","27149","0.0-1.0-0.24","la1y71xt66","490.5000000001128","<span class=stimul>bon</span>","0","Correct"
"","html-button-response","26","27557","0.0-1.0-0.25","la1y71xt66","403.3999999999214","<span class=stimul>mardi</span>","0","Correct"
"","html-button-response","27","28057","0.0-1.0-0.26","la1y71xt66","496.90000000009604","<span class=stimul>col</span>","0","Correct"
"","html-button-response","28","28567","0.0-1.0-0.27","la1y71xt66","505.7999999999083","<span class=stimul>avril</span>","0","Correct"
"","html-button-response","29","29059","0.0-1.0-0.28","la1y71xt66","487.49999999995634","<span class=stimul>roi</span>","0","Correct"
"","html-button-response","30","29621","0.0-1.0-0.29","la1y71xt66","559.0999999999476","<span class=stimul>faire</span>","0","Correct"
"","html-button-response","31","30130","0.0-1.0-0.30","la1y71xt66","504.89999999990687","<span class=stimul>facile</span>","0","Correct"
"","html-button-response","32","30588","0.0-1.0-0.31","la1y71xt66","452.99999999997453","<span class=stimul>cheval</span>","0","Correct"
"","html-button-response","33","31035","0.0-1.0-0.32","la1y71xt66","443.60000000006403","<span class=stimul>vrai</span>","0","Correct"
"","html-button-response","34","31451","0.0-1.0-0.33","la1y71xt66","412.19999999998254","<span class=stimul>ligne</span>","0","Correct"
"","html-button-response","35","32016","0.0-1.0-0.34","la1y71xt66","561.5000000000255","<span class=stimul>porte</span>","0","Correct"
"","html-button-response","36","32605","0.0-1.0-0.35","la1y71xt66","584.7999999998647","<span class=stimul>autre</span>","0","Correct"
"","html-button-response","37","33202","0.0-1.0-0.36","la1y71xt66","592.5999999999476","<span class=stimul>loup</span>","0","Correct"
"","html-button-response","38","33985","0.0-1.0-0.37","la1y71xt66","780.0000000001965","<span class=stimul>soir</span>","0","Correct"
"","html-button-response","39","35479","0.0-1.0-0.38","la1y71xt66","1489.8000000000611","<span class=stimul>page</span>","0","Correct"
"","html-button-response","40","36080","0.0-1.0-0.39","la1y71xt66","597.50000000008","<span class=stimul>raisin</span>","0","Correct"
"","html-button-response","41","37370","0.0-1.0-0.40","la1y71xt66","1285.800000000112","<span class=stimul>car</span>","0","Correct"
"","html-button-response","42","38967","0.0-1.0-0.41","la1y71xt66","1592.9000000001033","<span class=stimul>sucre</span>","0","Correct"
"","html-button-response","43","40044","0.0-1.0-0.42","la1y71xt66","1073.4999999999636","<span class=stimul>chat</span>","0","Correct"
"","html-button-response","44","41005","0.0-1.0-0.43","la1y71xt66","957.4999999999854","<span class=stimul>matin</span>","0","Correct"
"","html-button-response","45","42237","0.0-1.0-0.44","la1y71xt66","1228.6000000001368","<span class=stimul>trésor</span>","0","Correct"
"","html-button-response","46","47427","0.0-1.0-0.45","la1y71xt66","5186.0000000001455","<span class=stimul>soixante</span>","1","Incorrect"
"","html-button-response","47","50086","0.0-1.0-0.46","la1y71xt66","2655.199999999917","<span class=stimul>lundi</span>","0","Correct"
"","html-button-response","48","50736","0.0-1.0-0.47","la1y71xt66","646.4000000000888","<span class=stimul>rose</span>","0","Correct"
"","html-button-response","49","51279","0.0-1.0-0.48","la1y71xt66","539.600000000064","<span class=stimul>visage</span>","0","Correct"
"","html-button-response","50","53092","0.0-1.0-0.49","la1y71xt66","1808.6000000000713","<span class=stimul>six</span>","0","Correct"
"","html-button-response","51","53802","0.0-1.0-0.50","la1y71xt66","706.3000000000611","<span class=stimul>ciseau</span>","0","Correct"
"","html-button-response","52","54739","0.0-1.0-0.51","la1y71xt66","933.6000000000713","<span class=stimul>août</span>","0","Correct"
"","html-button-response","53","56164","0.0-1.0-0.52","la1y71xt66","1420.6999999998952","<span class=stimul>pays</span>","0","Correct"
"","html-button-response","54","57242","0.0-1.0-0.53","la1y71xt66","1074.399999999965","<span class=stimul>balai</span>","0","Correct"
"","html-button-response","55","58291","0.0-1.0-0.54","la1y71xt66","1041.3999999998414","<span class=stimul>fille</span>","0","Correct"
"","html-button-response","56","59777","0.0-1.0-0.55","la1y71xt66","1482.5000000000728","<span class=stimul>sept</span>","0","Correct"
"","html-button-response","57","62131","0.0-1.0-0.56","la1y71xt66","2350.899999999914","<span class=stimul>lourd</span>","0","Correct"
