"success","trial_type","trial_index","time_elapsed","internal_node_id","ID","rt","stimulus","button_pressed","button_pressed_text"
"true","fullscreen","0","9473","0.0-0.0","w0tochtwsl","","","",""
"","html-button-response","1","13433","0.0-1.0-0.0","w0tochtwsl","3941.599999999198","<span class=stimul>à</span>","0","Correct"
"","html-button-response","2","17427","0.0-1.0-0.1","w0tochtwsl","3990.299999999479","<span class=stimul>où</span>","1","Incorrect"
"","html-button-response","3","23918","0.0-1.0-0.2","w0tochtwsl","6485.599999999977","<span class=stimul>la</span>","0","Correct"
"","html-button-response","4","31147","0.0-1.0-0.3","w0tochtwsl","7224.40000000006","<span class=stimul>au</span>","1","Incorrect"
"","html-button-response","5","33361","0.0-1.0-0.4","w0tochtwsl","2209.3999999997322","<span class=stimul>tu</span>","0","Correct"
"","html-button-response","6","35797","0.0-1.0-0.5","w0tochtwsl","2432.0999999999913","<span class=stimul>un</span>","0","Correct"
"","html-button-response","7","38099","0.0-1.0-0.6","w0tochtwsl","2298.0999999999767","<span class=stimul>il</span>","0","Correct"
"","html-button-response","8","43242","0.0-1.0-0.7","w0tochtwsl","5138.700000000426","<span class=stimul>été</span>","0","Correct"
"","html-button-response","9","53575","0.0-1.0-0.8","w0tochtwsl","10328.099999999722","<span class=stimul>on</span>","1","Incorrect"
"","html-button-response","10","62314","0.0-1.0-0.9","w0tochtwsl","8734.400000000278","<span class=stimul>mur</span>","0","Correct"
"","html-button-response","11","68378","0.0-1.0-0.10","w0tochtwsl","6060.30000000009","<span class=stimul>ni</span>","0","Correct"
"","html-button-response","12","69474","0.0-1.0-0.11","w0tochtwsl","","","",""
