"success","trial_type","trial_index","time_elapsed","internal_node_id","ID","rt","stimulus","button_pressed","button_pressed_text"
"true","fullscreen","0","13862","0.0-0.0","tnw3lp198a","","","",""
"","html-button-response","1","15492","0.0-1.0-0.0","tnw3lp198a","1612.3999999999796","<span class=stimul>o</span>","0","Correct"
"","html-button-response","2","18294","0.0-1.0-0.1","tnw3lp198a","2798.899999999776","<span class=stimul>i</span>","0","Correct"
"","html-button-response","3","22336","0.0-1.0-0.2","tnw3lp198a","4036.000000000058","<span class=stimul>bi</span>","1","Incorrect"
"","html-button-response","4","41777","0.0-1.0-0.3","tnw3lp198a","19435.9000000004","<span class=stimul>ul</span>","1","Incorrect"
"","html-button-response","5","52961","0.0-1.0-0.4","tnw3lp198a","11178.100000000086","<span class=stimul>til</span>","0","Correct"
"","html-button-response","6","54251","0.0-1.0-0.5","tnw3lp198a","1285.4999999999563","<span class=stimul>ja</span>","0","Correct"
"","html-button-response","7","58377","0.0-1.0-0.6","tnw3lp198a","4121.700000000601","<span class=stimul>ol</span>","1","Incorrect"
"","html-button-response","8","66116","0.0-1.0-0.7","tnw3lp198a","7734.50000000048","<span class=stimul>ata</span>","0","Correct"
"","html-button-response","9","73863","0.0-1.0-0.8","tnw3lp198a","","","",""
