"success","trial_type","trial_index","time_elapsed","internal_node_id","ID","rt","stimulus","button_pressed","button_pressed_text"
"true","fullscreen","0","32005","0.0-0.0","nfbev2rj3u","","","",""
"","html-button-response","1","35817","0.0-1.0","nfbev2rj3u","3790.6999999977415"," ","1","9"
"","html-button-response","2","37834","0.0-2.0","nfbev2rj3u","2013.3999999998196"," ","1","6"
"","html-button-response","3","41594","0.0-3.0","nfbev2rj3u","3756.099999998696"," ","0","5"
"","html-button-response","4","43008","0.0-4.0","nfbev2rj3u","1411.10000000117"," ","1","2"
"","html-button-response","5","45717","0.0-5.0","nfbev2rj3u","2705.09999999922"," ","0","4"
"","html-button-response","6","47058","0.0-6.0","nfbev2rj3u","1336.699999999837"," ","1","5"
"","html-button-response","7","49153","0.0-7.0","nfbev2rj3u","2091.4000000011583"," ","1","6"
"","html-button-response","8","52365","0.0-8.0","nfbev2rj3u","3208.3999999995285"," ","0","8"
"","html-button-response","9","55651","0.0-9.0","nfbev2rj3u","3282.999999999447"," ","1","7"
"","html-button-response","10","57057","0.0-10.0","nfbev2rj3u","1401.9000000007509"," ","0","2"
"","html-button-response","11","58404","0.0-11.0","nfbev2rj3u","1344.4000000017695"," ","1","5"
"","html-button-response","12","61782","0.0-12.0","nfbev2rj3u","3374.7000000003027"," ","1","4"
"","html-button-response","13","64058","0.0-13.0","nfbev2rj3u","2272.000000000844"," ","0","9"
"","html-button-response","14","65380","0.0-14.0","nfbev2rj3u","1318.199999997887"," ","1","8"
"","html-button-response","15","66941","0.0-15.0","nfbev2rj3u","1557.199999999284"," ","1","5"
"","html-button-response","16","68870","0.0-16.0","nfbev2rj3u","1925.4000000000815"," ","0","7"
"","html-button-response","17","70878","0.0-17.0","nfbev2rj3u","2005.1999999996042"," ","1","9"
"","html-button-response","18","74789","0.0-18.0","nfbev2rj3u","3906.599999998434"," ","0","7"
"","html-button-response","19","76442","0.0-19.0","nfbev2rj3u","1650.3999999986263"," ","0","5"
"","html-button-response","20","79413","0.0-20.0","nfbev2rj3u","2966.7000000008557"," ","0","8"
"","html-button-response","21","85566","0.0-21.0","nfbev2rj3u","6149.600000000646"," ","1","4"
"","html-button-response","22","90402","0.0-22.0","nfbev2rj3u","4833.000000002357"," ","0","8"
"","html-button-response","23","92013","0.0-23.0","nfbev2rj3u","","","",""
