"success","trial_type","trial_index","time_elapsed","internal_node_id","ID","rt","stimulus","button_pressed","button_pressed_text"
"true","fullscreen","0","34449","0.0-0.0","zvtxod636o","","","",""
"","html-button-response","1","35305","0.0-1.0-0.0","zvtxod636o","838.2000000001426","<span class=stimul>o</span>","0","Correct"
"","html-button-response","2","35879","0.0-1.0-0.1","zvtxod636o","569.7000000000116","<span class=stimul>i</span>","0","Correct"
"","html-button-response","3","36396","0.0-1.0-0.2","zvtxod636o","513.5000000000218","<span class=stimul>bi</span>","0","Correct"
"","html-button-response","4","37420","0.0-1.0-0.3","zvtxod636o","1020.3000000001339","<span class=stimul>ul</span>","0","Correct"
"","html-button-response","5","39937","0.0-1.0-0.4","zvtxod636o","2512.6000000000204","<span class=stimul>til</span>","0","Correct"
"","html-button-response","6","40667","0.0-1.0-0.5","zvtxod636o","726.5999999999622","<span class=stimul>ja</span>","0","Correct"
"","html-button-response","7","41374","0.0-1.0-0.6","zvtxod636o","702.0999999995183","<span class=stimul>ol</span>","0","Correct"
"","html-button-response","8","43282","0.0-1.0-0.7","zvtxod636o","1904.0999999997439","<span class=stimul>ata</span>","1","Incorrect"
"","html-button-response","9","45198","0.0-1.0-0.8","zvtxod636o","1911.6999999996551","<span class=stimul>dik</span>","1","Incorrect"
"","html-button-response","10","48173","0.0-1.0-0.9","zvtxod636o","2971.6000000007625","<span class=stimul>nar</span>","0","Correct"
"","html-button-response","11","51088","0.0-1.0-0.10","zvtxod636o","2911.2999999997555","<span class=stimul>vaf</span>","0","Correct"
"","html-button-response","12","54090","0.0-1.0-0.11","zvtxod636o","2996.100000000297","<span class=stimul>zou</span>","0","Correct"
"","html-button-response","13","59227","0.0-1.0-0.12","zvtxod636o","5133.40000000062","<span class=stimul>dul</span>","1","Incorrect"
"","html-button-response","14","61416","0.0-1.0-0.13","zvtxod636o","2184.1000000003987","<span class=stimul>lévo</span>","0","Correct"
"","html-button-response","15","63564","0.0-1.0-0.14","zvtxod636o","2143.9000000000306","<span class=stimul>tur</span>","1","Incorrect"
"","html-button-response","16","71922","0.0-1.0-0.15","zvtxod636o","8353.599999999453","<span class=stimul>veur</span>","0","Correct"
"","html-button-response","17","75060","0.0-1.0-0.16","zvtxod636o","3132.800000000323","<span class=stimul>col</span>","0","Correct"
"","html-button-response","18","79597","0.0-1.0-0.17","zvtxod636o","4533.300000000047","<span class=stimul>noil</span>","1","Incorrect"
"","html-button-response","19","80730","0.0-1.0-0.18","zvtxod636o","1127.0000000004075","<span class=stimul>opa</span>","0","Correct"
"","html-button-response","20","83301","0.0-1.0-0.19","zvtxod636o","2567.1000000002095","<span class=stimul>jal</span>","0","Correct"
"","html-button-response","21","85836","0.0-1.0-0.20","zvtxod636o","2531.700000000448","<span class=stimul>neau</span>","1","Incorrect"
"","html-button-response","22","88738","0.0-1.0-0.21","zvtxod636o","2897.899999999936","<span class=stimul>timé</span>","0","Correct"
"","html-button-response","23","92999","0.0-1.0-0.22","zvtxod636o","4255.900000000111","<span class=stimul>cal</span>","0","Correct"
"","html-button-response","24","94452","0.0-1.0-0.23","zvtxod636o","","","",""
